run_id,target_type,facility_id,drug_id,justification_text,generator
L2-2026-01,allocation,PKM-004,OBT-029,"Puskesmas Cancar receives 22 of the 30 required units of Spiramycin (73 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 64 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 8 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-030,"Puskesmas Cancar receives 14 of the 15 required units of Pyrimethamine (93 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 77 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 1 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-005,OBT-021,"Puskesmas Iteng receives 60 of the 72 required units of Tenofovir (83 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 79 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 12 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-016,OBT-011,"Puskesmas Bea Mese receives 0 of the 10 required units of Insulin (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 69 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 10 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-005,OBT-012,"Puskesmas Iteng receives 71 of the 93 required units of Metformin (76 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 83 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 22 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-009,"Puskesmas Cancar receives 19 of the 37 required units of Methyldopa (51 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 63 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 18 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-015,OBT-014,"Puskesmas Cibal receives 16 of the 24 required units of Cephalexin (67 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 81 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 8 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-028,OBT-007,"Puskesmas Bangka Kenda receives 0 of the 3 required units of Glucose Oral IV (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 3 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-009,OBT-004,"Puskesmas Lembor receives 16 of the 169 required units of High Dose Iron (9 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 77 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 153 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-027,OBT-007,"Puskesmas Lelak receives 0 of the 2 required units of Glucose Oral IV (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 2 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-027,OBT-011,"Puskesmas Lelak receives 0 of the 5 required units of Insulin (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 69 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 5 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-008,"Puskesmas Cancar receives 35 of the 51 required units of Nifedipine (69 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 16 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,redistribution,PKM-018,OBT-001,"23 units of Quinine move from Puskesmas Golo Welu to Puskesmas Wae Codi. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (106.3) among available pairs.",template
L2-2026-01,redistribution,PKM-018,OBT-002,"3 units of Clindamycin move from Puskesmas Ketang to Puskesmas Wae Codi. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (116.6) among available pairs.",template
L2-2026-01,redistribution,PKM-022,OBT-002,"2 units of Clindamycin move from Puskesmas Ketang to Puskesmas Langke. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (48.0) among available pairs.",template
L2-2026-01,redistribution,PKM-003,OBT-003,"14 units of Artemisinin Combination Therapy move from Puskesmas Golo Welu to Puskesmas Wae Nakeng. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.3) among available pairs.",template
L2-2026-01,redistribution,PKM-009,OBT-004,"105 units of High Dose Iron move from Puskesmas Golo Welu to Puskesmas Lembor. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (142.1) among available pairs.",template
L2-2026-01,redistribution,PKM-010,OBT-005,"21 units of Vitamin B12 move from Puskesmas Golo Welu to Puskesmas Werang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.9) among available pairs.",template
L2-2026-01,redistribution,PKM-016,OBT-005,"15 units of Vitamin B12 move from Puskesmas Golo Welu to Puskesmas Bea Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (43.9) among available pairs.",template
L2-2026-01,redistribution,PKM-016,OBT-006,"1 units of Folic Acid Supplement move from Puskesmas Golo Welu to Puskesmas Bea Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (43.9) among available pairs.",template
L2-2026-01,redistribution,PKM-028,OBT-007,"3 units of Glucose Oral IV move from Puskesmas Lelak to Puskesmas Bangka Kenda. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (127.0) among available pairs.",template
L2-2026-01,redistribution,PKM-004,OBT-009,"5 units of Methyldopa move from Puskesmas Golo Welu to Puskesmas Cancar. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (130.8) among available pairs.",template
L2-2026-01,redistribution,PKM-016,OBT-011,"10 units of Insulin move from Puskesmas Golo Welu to Puskesmas Bea Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (43.9) among available pairs.",template
L2-2026-01,redistribution,PKM-005,OBT-012,"4 units of Metformin move from Puskesmas Golo Welu to Puskesmas Iteng. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (124.8) among available pairs.",template
L2-2026-01,redistribution,PKM-003,OBT-013,"30 units of Amoxicillin move from Puskesmas Popo to Puskesmas Wae Nakeng. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (43.2) among available pairs.",template
L2-2026-01,redistribution,PKM-029,OBT-013,"2 units of Amoxicillin move from Puskesmas Popo to Puskesmas Wae Belang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (80.5) among available pairs.",template
L2-2026-01,redistribution,PKM-030,OBT-013,"25 units of Amoxicillin move from Puskesmas Popo to Puskesmas Golo Welu. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (20.5) among available pairs.",template
L2-2026-01,redistribution,PKM-029,OBT-013,"29 units of Amoxicillin move from Puskesmas Bangka Kenda to Puskesmas Wae Belang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (73.7) among available pairs.",template
L2-2026-01,redistribution,PKM-003,OBT-014,"2 units of Cephalexin move from Puskesmas Golo Welu to Puskesmas Wae Nakeng. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.3) among available pairs.",template
L2-2026-01,redistribution,PKM-015,OBT-014,"8 units of Cephalexin move from Puskesmas Golo Welu to Puskesmas Cibal. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (68.8) among available pairs.",template
L2-2026-01,redistribution,PKM-020,OBT-015,"1 units of Ondansetron move from Puskesmas Bangka Kenda to Puskesmas Timung. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (178.1) among available pairs.",template
L2-2026-01,redistribution,PKM-022,OBT-015,"1 units of Ondansetron move from Puskesmas Bangka Kenda to Puskesmas Langke. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (37.8) among available pairs.",template
L2-2026-01,redistribution,PKM-023,OBT-015,"2 units of Ondansetron move from Puskesmas Bangka Kenda to Puskesmas Satar Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (108.1) among available pairs.",template
L2-2026-01,redistribution,PKM-020,OBT-016,"3 units of Pyridoxine Vitamin B6 move from Puskesmas Bangka Kenda to Puskesmas Timung. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (178.1) among available pairs.",template
L2-2026-01,redistribution,PKM-023,OBT-016,"3 units of Pyridoxine Vitamin B6 move from Puskesmas Bangka Kenda to Puskesmas Satar Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (108.1) among available pairs.",template
L2-2026-01,redistribution,PKM-016,OBT-017,"12 units of Antacid move from Puskesmas Golo Welu to Puskesmas Bea Mese. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (43.9) among available pairs.",template
L2-2026-01,redistribution,PKM-014,OBT-018,"24 units of Levothyroxine move from Puskesmas Golo Welu to Puskesmas Pagal. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (44.6) among available pairs.",template
L2-2026-01,redistribution,PKM-005,OBT-021,"12 units of Tenofovir move from Puskesmas Golo Welu to Puskesmas Iteng. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (124.8) among available pairs.",template
L2-2026-01,redistribution,PKM-014,OBT-022,"2 units of Metronidazole move from Puskesmas Ketang to Puskesmas Pagal. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (54.9) among available pairs.",template
L2-2026-01,redistribution,PKM-014,OBT-022,"5 units of Metronidazole move from Puskesmas Golo Welu to Puskesmas Pagal. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (44.6) among available pairs.",template
L2-2026-01,redistribution,PKM-014,OBT-023,"1 units of Clotrimazole Topical move from Puskesmas Popo to Puskesmas Pagal. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (51.5) among available pairs.",template
L2-2026-01,redistribution,PKM-020,OBT-024,"3 units of Paracetamol move from Puskesmas Bangka Kenda to Puskesmas Timung. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (178.1) among available pairs.",template
L2-2026-01,redistribution,PKM-020,OBT-024,"12 units of Paracetamol move from Puskesmas Golo Welu to Puskesmas Timung. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (178.0) among available pairs.",template
L2-2026-01,redistribution,PKM-010,OBT-025,"5 units of Sertraline move from Puskesmas Golo Welu to Puskesmas Werang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.9) among available pairs.",template
L2-2026-01,redistribution,PKM-020,OBT-025,"10 units of Sertraline move from Puskesmas Golo Welu to Puskesmas Timung. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (178.0) among available pairs.",template
L2-2026-01,redistribution,PKM-010,OBT-026,"11 units of Ranitidine move from Puskesmas Golo Welu to Puskesmas Werang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.9) among available pairs.",template
L2-2026-01,redistribution,PKM-013,OBT-026,"17 units of Ranitidine move from Puskesmas Golo Welu to Puskesmas Ketang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (23.9) among available pairs.",template
L2-2026-01,redistribution,PKM-010,OBT-027,"10 units of Omeprazole move from Puskesmas Golo Welu to Puskesmas Werang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (36.9) among available pairs.",template
L2-2026-01,redistribution,PKM-013,OBT-027,"16 units of Omeprazole move from Puskesmas Golo Welu to Puskesmas Ketang. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (23.9) among available pairs.",template
L2-2026-01,redistribution,PKM-004,OBT-029,"8 units of Spiramycin move from Puskesmas Bangka Kenda to Puskesmas Cancar. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (130.9) among available pairs.",template
L2-2026-01,redistribution,PKM-004,OBT-030,"1 units of Pyrimethamine move from Puskesmas Bangka Kenda to Puskesmas Cancar. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (130.9) among available pairs.",template
L2-2026-01,summary,,,"For 2026-01-01, the IFK allocates 14868 of 19529 required units across 29 facilities. 4661 units remain unmet after central allocation, of which 461 units are covered by inter facility transfers.",template
